TEND	PROTOCOL	DPORT	SIP	PASS	clusterCenter	threatLevel
30	UDP	0	1.0.0.0	1	0	24
30	UDP	0	1.0.0.1	1	0	23
30	UDP	0	1.0.0.2	1	0	22
30	UDP	0	1.0.0.3	1	0	21
30	UDP	0	1.0.0.4	1	0	20
30	UDP	0	1.0.0.5	1	0	19
30	UDP	0	1.0.0.6	1	0	18
30	UDP	0	1.0.0.7	1	0	17
30	UDP	0	1.0.0.8	1	0	16
30	UDP	0	1.0.0.9	1	0	15
30	UDP	0	1.0.0.10	1	0	14
30	UDP	0	1.0.0.11	1	0	13
30	UDP	0	1.0.0.12	1	0	12
30	UDP	0	1.0.0.13	1	0	11
30	UDP	0	1.0.0.14	1	0	10
30	UDP	0	1.0.0.15	1	0	9
30	UDP	0	1.0.0.16	1	0	8
30	UDP	0	1.0.0.17	1	0	7
30	UDP	0	1.0.0.18	1	0	6
30	UDP	0	1.0.0.19	1	0	5
30	UDP	0	1.0.0.20	1	0	4
30	UDP	0	1.0.0.21	1	0	3
30	UDP	0	1.0.0.22	1	0	2
30	UDP	0	1.0.0.23	1	0	1
30	UDP	0	1.0.0.24	1	0	0
